iter	Passed	Remaining
0	2	259
1	4	236
2	6	217
3	8	206
4	10	203
5	12	197
6	14	196
7	17	196
8	19	194
9	21	190
10	23	189
11	25	188
12	28	187
13	30	187
14	32	184
15	34	181
16	36	180
17	39	180
18	41	178
19	43	175
20	46	174
21	48	172
22	50	170
23	53	167
24	55	165
25	57	164
26	59	161
27	61	159
28	63	155
29	65	152
30	67	149
31	68	146
32	70	143
33	72	140
34	74	138
35	76	135
36	78	132
37	79	130
38	81	127
39	83	124
40	84	121
41	85	118
42	87	115
43	88	112
44	90	110
45	92	108
46	94	106
47	96	104
48	98	102
49	99	99
50	101	97
51	103	95
52	105	93
53	107	91
54	107	88
55	110	86
56	112	84
57	113	82
58	115	80
59	117	78
60	119	76
61	120	74
62	123	72
63	124	70
64	126	68
65	129	66
66	130	64
67	132	62
68	135	60
69	137	59
70	140	57
71	143	55
72	146	54
73	150	52
74	153	51
75	156	49
76	158	47
77	162	45
78	166	44
79	169	42
80	172	40
81	175	38
82	179	36
83	181	34
84	183	32
85	187	30
86	189	28
87	192	26
88	195	24
89	198	22
90	200	19
91	202	17
92	204	15
93	207	13
94	210	11
95	212	8
96	214	6
97	215	4
98	217	2
99	219	0
